shortdefinitions{
<ανά>γνωστος|hard to read
δυσεκβίαστος|hard to overpower
δυσεκθέρμαντος|hard to warm
δυσεκκάθαρτος|hard to wash away
δυσεκκένωτος|hard to evacuate
δυσεκκαρτέρητος|hard to endure
δυσεκκόμιστος|hard to carry out
δυσεκλάλητος|hard to express
δυσεκλόγιστος|hard to calculate
δυσεκμόχλευτος|hard to dislodge
δυσεκμύζητος|hard to suck out
δυσεκπέρατος|hard to pass out from, hard to escape
δυσεκπλήρωτος|hardly realizable
δυσεκπόνητος|hard to endure
δυσεκπόρευτος|hard to get out of
δυσεκπύητος|hard to bring to suppuration
δυσεκρίζωτος|hard to extirpate
δυσεκρίπτος|not easily displaced.
δυσεκφώνητος|hard to pronounce
δυσελένα|ill-starred Helen
δυσελκής|unfavourable for the healing of sores
δυσελκία|the constitution of a
δυσελπιστέω|to have scarce a hope
δυσελπιστία|despondency
δυσεμέω|not to vomit easily
δυσεμής|hard to make to vomit
δυσενέδρευτος|hard to way-lay
δυσενέργεια|lassitude
δυσενέργητος|sluggish
δυσεντερία|dysentery
δυσεντεριάω|suffer from dysentery
δυσεντερικός|afflicted with dysentery
δυσεντεριώδης|ill with dysentery
δυσεντευξία|repulsive demeanour
δυσεξάγωγος|difficult to carry off or get rid of
δυσεξάκουστος|difficult to hear
δυσεξάλειπτος|hard to wipe out
δυσεξάλυκτος|hard to avoid
δυσεξάτμιστος|hard to evaporate
δυσεξέλεγκτος|hard to refute
δυσεξέλευστος|hard to get out of
δυσεξέλικτος|hard to unfold, involved
δυσεξέργαστος|hard to work out
δυσεξήγητος|hard to explain
δυσεξήνυστος|indissoluble
δυσεξίλαστος|hard to appease
δυσεξίλλητος|hard to unravel
δυσεξίτηλος|not easily perishing
δυσεξαπάτητος|hard to deceive
δυσεξαρίθμητος|hard to count
δυσεξερεύνητος|hard to explore
δυσεξεύρετος|hard to find out
δυσεξημέρωτος|hard to tame
δυσεξυβωτός|not easily displaced outwards
δυσεξώθητος|hard to dislodge
δυσεπέκτατος|hard to extend or distend
δυσεπήβολος|hard to master
δυσεπίβατος|hard to get at
δυσεπίβλητος|hard to attain to
δυσεπίβολος|hard to assail
δυσεπίγνωστος|hard to identify or find out
δυσεπίθετος|hard to attack
δυσεπίκριτος|hard to decide
δυσεπίμικτος|disinclined for intercourse
δυσεπίστροφος|hard to turn or guide
δυσεπίσχετος|hard to check
δυσεπίτευκτος|hard to accomplish
δυσεπανόρθωτος|hard to correct or reform
δυσεπιβούλευτος|hard to attack secretly
δυσεπικούρητος|hard to meet
δυσεπιλόγιστος|hard to conceive
δυσεπινόητος|hard to understand
δυσεπιτίμητος|hard to criticize
δυσεπιχείρητος|hard to prove
δυσεπούλωτος|hard to cicatrize
δυσεργέω|to be sluggish
δυσεργής|difficult
δυσεργία|difficulty in working or construction
δυσεργασία|difficulty of performing
δυσερεύνητος|hard to search
δυσεριστία|contentious disposition
δυσερμήνευτος|hard to interpret
δυσερνής|hardly shooting or sprouting
δυσερωτιάω|to be desperately in love
δυσετηρία|bad season
δυσετυμολόγητος|hard to derive
δυσευνήτωρ|ill bedfellow
δυσευπόριστος|hard to procure
δυσεύρετος|hard to find out
δυσζήτητος|hard to seek or track
δυσζηλία|jealousy
δυσηκοέω|to be hard of hearing
δυσηκοία|hardness of hearing
δυσηλάκατος|spinner of ill
δυσηλεγής|bringing bitter grief, cruel, ruthless
δυσημέρημα|ill luck
δυσημερέω|have an unlucky day, be unlucky
δυσημερία|unlucky day: mishap, misery
δυσηνίαστος|hard to bridle
δυσηχής|ill-sounding
δυσηχία|unpleasantness of sound
δυσθάλασσος|subject to sea-sickness
δυσθάνατος|bringing a hard death
δυσθέατος|ill to look on
δυσθέρμαντος|cold
δυσθήρατος|hard to catch
δυσθαλής|hardly growing
δυσθαλία|a misfortune
δυσθαλπής|hardtowarm: chilly
δυσθανής|unhappy in death
δυσθανατάω|long for death
δυσθανατέω|to be loath to die
δυσθενέω|to be weak and powerless
δυσθεράπευτος|hard to cure
δυσθεραπευσία|difficulty of treatment
δυσθεσία|bad condition: fretfulness, peevishness
δυσθετέω|to be dissatisfied
δυσθεώρητος|hard to observe
δυσθηρία|bad hunting
δυσθησαύριστος|hard to store
δυσθρήνητος|loud-wailing, most mournful
δυσθυμέω|to be melancholy, angry
δυσθυμία|despondency, despair
δυσθυμαίνω|to be dispirited, despond, h. Cer.
δυσθυμικός|melancholy
δυσιατέω|to be hard to heal
δυσιερέω|to have bad omens in a sacrifice
δυσιθάλασσος|dipped in the sea
δυσκάθαρτος|hard to purify
δυσκάθεκτος|hard to hold in
δυσκάθοδος|hard to go down into
δυσκάτακτος|hard to break
δυσκέλαδος|ill-sounding, shrieking
δυσκένωτος|hard to excrete
δυσκέραστος|hard to temper
δυσκίνητος|hard to move
δυσκαής|hard to burn, burning badly
δυσκαθαίρετος|hard to overthrow
δυσκαμπής|hard to bend
δυσκαρτέρητος|hard to endure
δυσκατάθετος|hard to bring
δυσκατάληπτος|hard to comprehend
δυσκατάλλακτος|hard to reconcile
δυσκατάλυτος|hard to bring to an end
δυσκατάπαυστος|hard to check
δυσκατάπεπτος|hard to digest
δυσκατάπληκτος|hard to keep in awe
δυσκατάποτος|hard to swallow
δυσκατάπρακτος|hard to effect
δυσκατάρτιστος|hard to place rightly
δυσκατάσβεστος|hard to extinguish
δυσκατάστατος|hard to restore or rally
δυσκατέργαστος|hard to work
δυσκαταγωγός|making a landing difficult
δυσκαταγώνιστος|hard to overcome
δυσκαταμάθητος|hard to learn or understand
δυσκαταμάχητος|hard to overcome
δυσκατανόητος|hard to understand
δυσκαταπολέμητος|hard to conquer
δυσκαταποσία|difficulty of swallowing
δυσκαταποτέω|have difficulty in swallowing
δυσκαταπόνητος|hard to execute
δυσκαταφρόνητος|not to be despised
δυσκατεργασία|indigestion
δυσκατούλωτος|hard to cicatrize
δυσκατόρθωτος|hard to succeed in
δυσκερδής|with ill gains, ill-gotten
δυσκηδής|full of misery
δυσκινησία|difficulty of moving
δυσκινητέω|move with difficulty
δυσκλήρημα|piece of ill luck
δυσκλεής|inglorious
δυσκληδόνιστος|of ill name, boding ill
δυσκληρέω|to be unlucky in one's lot
δυσκοίλιος|bad for the bowels
δυσκοινώνητος|unsocial
δυσκοιτέω|to have bad nights
δυσκολία|discontent, peevishness
δυσκολαίνω|to be peevish
δυσκολόκαμπτος|hard to bend
δυσκολόκοιτος|making bed uneasy
δυσκοπάνιστος|hard to bake
δυσκράτητος|hard to control
δυσκραής|intemperate
δυσκρασία|bad temperament
δυσκρινής|hard to distinguish
δυσκυβέω|to be unlucky at dice
δυσκυλίστως|rolling with difficulty
δυσκωφέω|to be hard of hearing
δυσκωφία|deafness
δυσκόλλητος|hard to glue together
δυσκόμιστος|hard to bear, intolerable
δυσκύμαντος|from the stormy sea.
δυσλέαντος|hard to pound or bray
δυσλεπής|rough-husked
δυσλόγιστος|hard to compute
δυσμάλακτος|hard to soften
δυσμάραντος|unfading
δυσμάσητος|hard to chew
δυσμάχητος|keenly contested
δυσμένεια|ill-will, enmity
δυσμέριστος|hard to chew up
δυσμέτρητος|hard to measure
δυσμή|setting
δυσμήτηρ|yet no mother
δυσμήτωρ|an ill mother's wrath.
δυσμήχανος|hard to effect
δυσμίμητος|hard to imitate
δυσμίσητος|much hated
δυσμαθέω|to be slow at recognizing
δυσμαθής|hard to learn
δυσμαθία|slowness at learning
δυσμανής|thick
δυσμαρής|difficult
δυσμαχέω|fight in vain against or fight an unholy fight with
δυσμαχητέον|one must fight a losing battle with
δυσμείλικτος|hard to appease
δυσμεικτος|hard to mix: without affinity
δυσμελῴδητος|hard to employ in melody
δυσμενέων|bearing ill-will, hostile
δυσμενής|hostile
δυσμεναίνω|bear ill-will
δυσμενικός|like an enemy, hostile
δυσμετάβλητος|hard to alter
δυσμετάδοτος|not imparting freely
δυσμετάθετος|hard to alter
δυσμετάκλαστος|hard to break or move
δυσμετάκλητος|hard to cure of a habit
δυσμετάστρεπτος|hard to divert
δυσμεταβλησία|difficulty of alteration
δυσμετακίνητος|hard to shift
δυσμεταχείριστος|hard to manage
δυσμηχανέω|to be at loss how
δυσμικός|western
δυσμνημόνευτος|hard to remember
δυσμορία|a hard fate
δυσμορφία|misshapenness, ugliness
δυσμόχλευτος|hard to dislodge
δυσνίκητος|hard to conquer
δυσνοέω|to be ill-affected
δυσνομία|lawlessness, bad constitution
δυσνουθέτητος|hard to be corrected
δυσνόητος|hard to be understood
δυσνύμφευτος|ill-wedded
δυσξήραντος|hard to dry
δυσξύμβλητος|hard to understand
δυσξύμβολος|hard to deal with, driving a hard bargain
δυσξύνετος|hard to understand
δυσοίζω|to be distressed
δυσοίκητος|bad to dwell in
δυσοδέω|make bad way, get on slowly
δυσοδία|badness of roads
δυσοδοπαίπαλος|difficult and rugged
δυσοικονόμητος|hard to digest
δυσοιωνέω|augurill of
δυσοιωνισμός|an ill omen
δυσοιωνιστικός|ill-omened
δυσομίλητος|hard to live with
δυσομιλία|unsociableness
δυσορασία|dim sight
δυσοργησία|passionateness
δυσορεξία|lack of appetite
δυσορκέω|swear falsely
δυσοσμία|an ill smell
δυσουρέω|to have difficulty in micturition
δυσουρία|difficult micturition
δυσουρητικός|suffering from
δυσούλωτος|hard to scar over
δυσούριστος|driven by a too favourable wind, fatally favourable
δυσπάθεια|deep affliction
δυσπάλαιστος|hard to wrestle with
δυσπάλαμος|hard to struggle with
δυσπάρευνος|ill-mated
δυσπάρθενος|a virgin to her cost
δυσπάριτος|hard to pass
